Hotel,Author,Rating,Review,Sentiment Score,Sentiment Magnitude
"Holiday Inn Express & Suites Timmins, an IHG Hotel",Brandon C,3,"Stayed for one night for business, overall the stay was ok but definitely some issues that would make me reconsider staying here again:
Good:
- Spacious rooms
- Large bathrooms (I think I had an accessibility bathroom)
- Bathroom was clean
- Staff here were all very nice
- Has a pool so good for kids
Not so good:
- Window curtains couldn't pull all the way shut and I had a light right outside my window on the street which made it hard to sleep.
- Cleanliness of the room was pretty questionable. There was a weird stain on the bench, and what looked like a dried bloody hand print on one of the beds.
- My colleagues both had issues with their rooms - one of them didn't have a functioning cable box and the other had tape covering their thermostat so they couldn't change the temperature.
- Gym was pretty dirty/doesn't look like the upkeep is that great there.",-0.699999988079071,3.5999999046325684
"Holiday Inn Express & Suites Timmins, an IHG Hotel",Jessica Scott,4,"Our room was large and kept very clean. Shoutout to the amazing housekeeper on 5, she went above snd beyond, a true asset! Front desk staff was friendly and helpful. Breakfast was good with many options.",0.800000011920929,3.200000047683716
"Holiday Inn Express & Suites Timmins, an IHG Hotel",Janice Wheeler,5,"We loved our stay at this hotel! The rooms were very clean and attractive, tons of pillows, nice beds, the wash room was very new and spacious and well supplied with shampoo etc of a very high quality.
The meeting room we rented for 2 days was well set up and taken care of.
All the stuff we dealt with were very friendly and eager to take care of our every need.
I have stayed at many many hotels across Canada and was very impressed with this one!",0.8999999761581421,4.5
"Holiday Inn Express & Suites Timmins, an IHG Hotel",Dan Laffin (Dan Laffin),5,I dont know why this is considered a 2 star place... its amazing. First off the staff is so friendly Ally checked us in today and after about an hour she calls the room to see if everything is OK. You know a place stands behind the expectations when they call to check in.  She was super polite and very professional. The breakfast is always good the rooms always clean. I've stayed here 3 times and enjoyed it each time. But Ally I think her name was Ally... she absolutely went above and beyond and was super helpful 👏 👌  highly recommend this hotel!,0.800000011920929,5.699999809265137
"Holiday Inn Express & Suites Timmins, an IHG Hotel",Isaac Lohnes,1,"Staff was great.

Advertised ""free weights"" in gym. Only 5 lbs. Machines dilapidated and often had (unsafe) loose screws.

Hotel had damaged lettering on room numbers.

Got harassed by homeless in the parking lot.

Generally an awful experience. But the staff were friendly and nice!",-0.30000001192092896,5.0
"Holiday Inn Express & Suites Thunder Bay, an IHG Hotel",Steven,4,The pet friendly staff welcomed us with a doggy treat and personal baggie for special occasions. The breakfast and accommodations were a good value for the money spent. Location is perfect for traveling through.   We give it three and a half paws!  Safe quiet and clean,0.800000011920929,4.300000190734863
"Holiday Inn Express & Suites Thunder Bay, an IHG Hotel",Rod Campbell,5,"We recently stayed at this hotel, on two separate occasions.  The front desk staff are very friendly and professional.  It's a great place to travel with a pet, with plenty of grassy areas surrounding the hotel. Housekeeping staff should check the TV. On both occasions a previous guest had messed with the settings, or pulled out a necessary cable. The breakfast is a highlight, especially their cheerful staff. I would highly recommend this hotel.",0.30000001192092896,5.0
"Holiday Inn Express & Suites Thunder Bay, an IHG Hotel",Taylin Smith,5,"The warmest welcome at check in! Big shout out to the ladies working the front desk. So sweet and accommodating!

The hotel was clean and safe. It has free breakfast, a pool and lots of parking! There’s also a restaurant beside the parking lot.

I highly recommend this hotel while staying in Thunder Bay! This hotel is also dog friendly!",0.800000011920929,6.400000095367432
"Holiday Inn Express & Suites Thunder Bay, an IHG Hotel",Burt,5,"Excellent hotel the staff are very friendly and always helpful. Breakfast is good lots of options. Wynona in the breakfast room is amazing!! She always asks how your doing, what’s your plans for the day etc. such a nice enjoyable experience. I can hear her humming in the background while I write this review. Thank you for such a pleasant stay.",0.699999988079071,5.0
"Holiday Inn Express & Suites Thunder Bay, an IHG Hotel",Josh Door,4,"Very nice staff! Pool is really nice. The area isn't outside the hotel isn't a beautiful view but very accessible to stores, restaurants and the mall. Would stay here again! Also always love a 24 hour fitness area as night owl haha!",0.800000011920929,4.300000190734863
